Zeit;Kanal A
(ms);(V)

-3,35406474;0,66252458
-3,35396074;0,70973796
-3,35385674;0,70973796
-3,35375274;0,70973796
-3,35364874;0,75710505
-3,35354474;0,75710505
-3,35344074;0,66252458
-3,35333674;0,70973796
-3,35323274;0,70973796
-3,35312874;0,70973796
-3,35302474;0,66252458
-3,35292074;0,70973796
-3,35281674;0,70973796
-3,35271274;0,70973796
-3,35260874;0,66252458
-3,35250474;0,70973796
-3,35240074;0,66252458
-3,35229674;0,66252458
-3,35219274;0,70973796
-3,35208874;0,70973796
-3,35198474;0,70973796
-3,35188074;0,70973796
-3,35177674;0,70973796
-3,35167274;0,70973796
-3,35156874;0,70973796
-3,35146474;0,75710505
-3,35136074;0,70973796
-3,35125674;0,70973796
-3,35115274;0,70973796
-3,35104874;0,70973796
-3,35094474;0,66252458
-3,35084074;0,70973796
-3,35073674;0,70973796
-3,35063274;0,70973796
-3,35052874;0,70973796
-3,35042474;0,70973796
-3,35032074;0,70973796
-3,35021674;0,70973796
-3,35011274;0,66252458
-3,35000874;0,70973796
-3,34990474;0,66252458
-3,34980074;0,70973796
-3,34969674;0,66252458
-3,34959274;0,70973796
-3,34948874;0,66252458
-3,34938474;0,75710505
-3,34928074;0,70973796
-3,34917674;0,70973796
-3,34907274;0,66252458
-3,34896874;0,75710505
-3,34886474;0,70973796
-3,34876074;0,70973796
-3,34865674;0,70973796
-3,34855274;0,70973796
-3,34844874;0,70973796
-3,34834474;0,70973796
-3,34824074;0,70973796
-3,34813674;0,66252458
-3,34803274;0,66252458
-3,34792874;0,75710505
-3,34782474;0,70973796
-3,34772074;0,70973796
-3,34761674;0,66252458
-3,34751274;0,70973796
-3,34740874;0,70973796
-3,34730474;0,66252458
-3,34720074;0,66252458
-3,34709674;0,66252458
-3,34699274;0,70973796
-3,34688874;0,70973796
-3,34678474;0,66252458
-3,34668074;0,70973796
-3,34657674;0,66252458
-3,34647274;0,70973796
-3,34636874;0,70973796
-3,34626474;0,70973796
-3,34616074;0,70973796
-3,34605674;0,70973796
-3,34595274;0,70973796
-3,34584874;0,70973796
-3,34574474;0,66252458
-3,34564074;0,70973796
-3,34553674;0,70973796
-3,34543274;0,70973796
-3,34532874;0,66252458
-3,34522474;0,70973796
-3,34512074;0,70973796
-3,34501674;0,70973796
-3,34491274;0,70973796
-3,34480874;0,70973796
-3,34470474;0,66252458
-3,34460074;0,70973796
-3,34449674;0,66252458
-3,34439274;0,70973796
-3,34428874;0,66252458
-3,34418474;0,66252458
-3,34408074;0,66252458
-3,34397674;0,70973796
-3,34387274;0,70973796
-3,34376874;0,70973796
-3,34366474;0,66252458
-3,34356074;0,70973796
-3,34345674;0,70973796
-3,34335274;0,70973796
-3,34324874;0,70973796
-3,34314474;0,70973796
-3,34304074;0,70973796
-3,34293674;0,75710505
-3,34283274;0,70973796
-3,34272874;0,70973796
-3,34262474;0,66252458
-3,34252074;0,66252458
-3,34241674;0,70973796
-3,34231274;0,66252458
-3,34220874;0,66252458
-3,34210474;0,70973796
-3,34200074;0,70973796
-3,34189674;0,70973796
-3,34179274;0,66252458
-3,34168874;0,70973796
-3,34158474;0,66252458
-3,34148074;0,70973796
-3,34137674;0,70973796
-3,34127274;0,70973796
-3,34116874;0,70973796
-3,34106474;0,70973796
-3,34096074;0,66252458
-3,34085674;0,66252458
-3,34075274;0,66252458
-3,34064874;0,70973796
-3,34054474;0,70973796
-3,34044074;0,70973796
-3,34033674;0,70973796
-3,34023274;0,70973796
-3,34012874;0,70973796
-3,34002474;0,70973796
-3,33992074;0,66252458
-3,33981674;0,70973796
-3,33971274;0,70973796
-3,33960874;0,70973796
-3,33950474;0,66252458
-3,33940074;0,70973796
-3,33929674;0,70973796
-3,33919274;0,70973796
-3,33908874;0,70973796
-3,33898474;0,70973796
-3,33888074;0,66252458
-3,33877674;0,70973796
-3,33867274;0,70973796
-3,33856874;0,75710505
-3,33846474;0,70973796
-3,33836074;0,66252458
-3,33825674;0,70973796
-3,33815274;0,70973796
-3,33804874;0,70973796
-3,33794474;0,70973796
-3,33784074;0,66252458
-3,33773674;0,70973796
-3,33763274;0,66252458
-3,33752874;0,70973796
-3,33742474;0,66252458
-3,33732074;0,70973796
-3,33721674;0,66252458
-3,33711274;0,70973796
-3,33700874;0,66252458
-3,33690474;0,70973796
-3,33680074;0,70973796
-3,33669674;0,66252458
-3,33659274;0,61515749
-3,33648874;0,61515749
-3,33638474;0,70973796
-3,33628074;0,70973796
-3,33617674;0,70973796
-3,33607274;0,66252458
-3,33596874;0,70973796
-3,33586474;0,66252458
-3,33576074;0,70973796
-3,33565674;0,66252458
-3,33555274;0,66252458
-3,33544874;0,66252458
-3,33534474;0,66252458
-3,33524074;0,70973796
-3,33513674;0,70973796
-3,33503274;0,70973796
-3,33492874;0,70973796
-3,33482474;0,70973796
-3,33472074;0,70973796
-3,33461674;0,70973796
-3,33451274;0,70973796
-3,33440874;0,75710505
-3,33430474;0,70973796
-3,33420074;0,70973796
-3,33409674;0,66252458
